"species","selection_auc","selection_tss","series_auc","series_tss","run_sd_auc","run_sd_tss"
"Leucanthemopsis alpina",0.834002201357197,0.554950559856962,0.828671391255376,0.56924599144469,0.00469471782363316,0.01554608771865
"Luzula spicata",0.881495021106917,0.693718922925942,0.856368259855485,0.634319331783915,0.0061962805428417,0.0134176204572684
"Minuartia sedoides",0.835159800891368,0.610051564685146,0.844619680669761,0.62986596472875,0.00802764483639508,0.0160089762301156
"Oreochloa disticha",0.907604848687466,0.744599878844013,0.905467147978517,0.769269369738316,0.00685891448667419,0.0157885098918174
"Primula glutinosa",0.911326205263005,0.77883606875943,0.895543377739745,0.756566028951245,0.0102445914258864,0.0153255456557637
"Saxifraga bryoides",0.910335646865972,0.717846349982016,0.892696116212553,0.702333073056167,0.00244027911549612,0.00931504669089291
"Sedum alpestre",0.890111423796544,0.68866541120686,0.889886959534634,0.694255443722732,0.00704536478516031,0.0158891014021139
"Silene acaulis subsp. exscapa",0.805985973426698,0.542391150404751,0.783918169215663,0.510742533916963,0.00726148522644136,0.0136760637164997
"Veronica alpina",0.883157171949633,0.682865415150324,0.875777319342249,0.660776290327593,0.00407681713999224,0.0111849410690405
"Agrostis rupestris",0.821394522903599,0.573718738037756,0.816094032236235,0.555455528622249,0.00753797924422901,0.0168556036637961
"Cardamine resedifolia",0.840237773321245,0.647810720682306,0.852682725842714,0.683242317511471,0.00773088456200915,0.0194336808572692
"Gnaphalium supinum",0.91073651526163,0.704991747893616,0.912538357958474,0.713313813254772,0.00457233139494322,0.00933568554029087
"Poa alpina",0.79460549532528,0.502547465219838,0.7838107709321,0.487419166296309,0.00363564489838367,0.0100202993120621
"Poa laxa",0.933350984891846,0.785945965481527,0.925597808086347,0.797994208736935,0.00331190306905646,0.0101803793748117
"Salix herbacea",0.816237876123504,0.55193064539618,0.827563930941802,0.560438772556785,0.00483285067917614,0.0164398232416816
"Erigeron uniflorus",0.935594691616307,0.869670331642916,0.907592234081088,0.834973404351923,0.00849434627675273,0.011273250779169
"Gentiana bavarica",0.899234127171318,0.808307866673356,0.863910100963209,0.762015878729914,0.0155646184359907,0.0200296952346441
"Ranunculus glacialis",0.92076205679341,0.789670112272368,0.920483894211918,0.803380889328302,0.00736367732843135,0.0149192159887888
"Sagina saginoides",0.902115688604036,0.752341511438877,0.89224799972521,0.746233738622611,0.00574465313882742,0.0104865489663173
"Saxifraga exarata",0.929117954108591,0.861559267334218,0.933966946291247,0.892468535479111,0.00999813312990293,0.0120399257298942
"Deschampsia cespitosa subsp. cespitosa",0.852992061817062,0.621823357984317,0.864517589717704,0.641041379277681,0.00525265591509873,0.0129529439468453
"Phyteuma hemisphaericum",0.842140703033449,0.592468051285517,0.820872665476097,0.550988789999921,0.00673112364663933,0.0189311313405506
"Campanula barbata subsp. barbata",0.865491027270053,0.651348794169041,0.876765683835413,0.664245399299442,0.00986734775289587,0.0129281134327088
"Carex sempervirens",0.910362114877357,0.71424744030907,0.895455095945828,0.680981687364472,0.00343613678164503,0.0131953357373339
"Gentiana acaulis",0.856899241109674,0.665607691438648,0.831877341261925,0.606355877772856,0.00795192786633188,0.0157255222689356
"Lotus corniculatus",0.89248797525167,0.724088566382239,0.88661396187749,0.709450760713259,0.00662333120217266,0.0130958973812819
"Luzula alpina",0.835094360922512,0.650539971980848,0.832378889468656,0.657986438944699,0.0117871646637932,0.0140536555887311
"Luzula lutea",0.829772085644338,0.580621047289159,0.800750498454067,0.557481957370692,0.0073147632166515,0.0159707653070383
"Mutellina adonidifolia",0.910678809250601,0.742123132814399,0.905279303269389,0.723851383666964,0.00558520545127833,0.0177425202506755
"Myosotis alpestris",0.830514256295907,0.587630276208888,0.814093516714176,0.56467381249705,0.0071465907338181,0.0161770518961575
"Nardus stricta",0.886176135703,0.714858864003212,0.900653624751982,0.712984749007276,0.00493053614538782,0.0134300063747531
"Pulsatilla alpina subsp. apiifolia",0.893926698294257,0.812419294977521,0.821465152701135,0.72208253389864,0.0142328597094389,0.0238957687920621
"Pyrola minor",0.895241311806488,0.828328318165818,0.860795285480201,0.788818986410761,0.018856313549304,0.0224612968710564
"Rhinanthus glacialis",0.90120279059624,0.757995048066573,0.917664606275574,0.766343661582341,0.00899296483420228,0.022569310580632
"Selaginella selaginoides",0.829928120920995,0.640352242753147,0.818534067359768,0.617805161912688,0.0149421906296448,0.0251339814320883
"Trifolium pallescens",0.876706389152668,0.693340302039816,0.861436132991221,0.643843969183115,0.00673801001063743,0.0148424039857601
"Trifolium pratense subsp. pratense",0.884831443359211,0.734747214104366,0.886804506805526,0.714783639352817,0.00506529909759767,0.0170956076580035
"Minuartia gerardii",0.880857836245237,0.764222428199974,0.845975055369284,0.693602159825802,0.0262139932750072,0.0385313447714796
"Euphrasia minima",0.784435680040753,0.49754115007177,0.798308798764778,0.520634943514534,0.00528993349868521,0.0100026590322998
"Geum reptans",0.919683233664214,0.813178841365874,0.918215310169172,0.806215517788488,0.00603733964613893,0.0184419369248012
"Achillea moschata",0.83736332482483,0.633552380727227,0.825384422355523,0.570415125810254,0.0069700361934629,0.00959602499818005
"Agrostis alpina",0.838830555814533,0.600406635718608,0.814621150640761,0.529355870186336,0.00524449691525847,0.0144020190774205
"Hieracium alpinum s. lat.",0.860612778865895,0.654394594211545,0.826229117141467,0.602998383954004,0.0107525719954208,0.0232643738869107
"Sempervivum montanum s. str.",0.855871437028154,0.699572002660061,0.85899412801852,0.717437234686759,0.0110698209321826,0.0210722685486115
"Veronica bellidioides",0.808086719213442,0.614323842934301,0.749056891212544,0.541730676839861,0.0219548513622917,0.0292615062641993
"Oxyria digyna",0.936785744177072,0.862127811009097,0.919830186716335,0.844016862985438,0.00804708581644584,0.0143061041901426
"Antennaria carpatica",0.877456748663059,0.730506310970981,0.889951215478176,0.792779379216566,0.0256192841788866,0.0298239348375442
"Avenella flexuosa",0.892663997530904,0.728681540071907,0.87321831573228,0.688139160865729,0.0039332645802932,0.0167129908345951
"Primula minima",0.856884698452441,0.686975925614701,0.836925779619254,0.654549522013366,0.0138673347680761,0.0264645567215828
"Soldanella pusilla",0.888134093653613,0.692841227543953,0.872636663206454,0.668346051163677,0.00529859991083695,0.0128727569456295
"Sibbaldia procumbens",0.86768182290847,0.712558268191871,0.827657635759631,0.611472219058996,0.0130174506785832,0.0256773893425178
