"run","level_auc","level_tss"
"study_map",0.877728927214405,0.71222261239107
"repeat_2",0.871457937307685,0.703931030706287
"repeat_3",0.873076270471175,0.705354504493257
"repeat_4",0.873973677552853,0.708452136255178
"repeat_5",0.87393427749721,0.708302564516754
"repeat_6",0.871287059974906,0.703881211102316
"repeat_7",0.872263863164732,0.705983418175016
"repeat_8",0.876166780979569,0.713120185751607
"repeat_9",0.871242184743007,0.702258615769783
"repeat_10",0.8743766436633,0.708994031914786
"repeat_11",0.872856433409029,0.706836251819165
